Timestamp,Label,Inner_Env,Outer_Env
1782289190.559762,1,617.98,403.46
1782289194.395022,1,628.86,641.26
1782289198.7192194,1,621.1,553.86
1782289202.4364984,1,629.14,405.82
1782289206.1571894,1,661.66,422.96
1782289209.6178868,1,627.7,465.2
1782289228.1512501,1,568.04,435.9
1782289231.8189704,1,587.6,453.12
1782289237.0128381,1,590.34,480.52
1782289239.3332853,1,625.9,465.9
1782289241.9536467,1,626.36,470.84
1782289245.0194917,1,604.08,499.76
1782289247.5989363,1,642.02,470.54
1782289250.0950954,1,608.72,534.96
1782289252.6155686,1,613.84,484.34
1782289255.5164747,1,602.08,536.38
1782289258.3765197,1,616.68,499.5
1782289263.9785626,1,595.94,493.0
1782289266.339001,1,597.94,487.86
1782289269.1388814,1,579.5,513.0
1782289277.5791059,4,519.68,466.3
1782289279.8305967,4,520.82,468.64
1782289282.2709932,4,523.12,465.36
1782289286.952003,4,516.2,479.96
1782289289.8324382,4,507.22,475.02
1782289292.9926898,4,505.34,477.68
1782289298.739306,4,509.06,490.86
1782289301.4745326,4,517.26,484.42
1782289304.6750493,4,519.6,480.2
1782289306.955436,4,520.08,481.1
1782289309.2160282,4,522.7,489.08
1782289311.836458,4,517.74,491.12
1782289314.2365878,4,530.1,499.72
1782289317.1973894,4,514.72,498.16
1782289319.7976093,4,513.96,500.84
1782289322.3991778,4,506.44,498.58
1782289324.638539,4,507.88,500.46
1782289326.6991205,4,505.82,497.5
1782289329.7386487,4,550.02,500.5
1782289331.9189801,4,498.92,490.1
1782289336.118748,3,518.82,486.58
1782289339.211589,3,528.42,498.94
1782289341.9978645,3,599.38,500.32
1782289344.6123698,3,560.1,501.2
1782289347.1325893,3,548.14,501.12
1782289349.5182512,3,542.62,501.28
1782289351.973546,3,558.88,501.16
1782289354.4143336,3,543.16,496.7
1782289356.519347,3,548.1,499.86
1782289358.814881,3,584.74,505.04
1782289361.0751228,3,529.52,507.18
1782289363.239188,3,525.48,503.66
1782289365.5600736,3,541.1,497.7
1782289367.7173176,3,525.68,501.26
1782289369.8568308,3,494.34,486.8
1782289372.2972767,3,507.38,494.04
1782289374.6975503,3,589.24,488.84
1782289376.7582724,3,525.7,482.96
1782289379.1386638,3,490.3,485.82
1782289381.438969,3,502.1,487.42
1782289384.19852,2,560.84,689.26
1782289386.7988336,2,525.54,647.84
1782289391.750677,2,538.28,569.92
1782289395.2716029,2,534.64,561.36
1782289398.0720284,2,537.2,632.1
1782289400.7524045,2,538.26,585.9
1782289404.0543091,2,549.74,524.26
1782289417.335462,2,448.12,583.08
1782289421.5580451,2,506.28,588.2
1782289425.0180037,2,508.98,603.66
1782289428.177355,2,518.18,506.32
1782289431.5380118,2,518.96,596.5
1782289449.5119555,2,467.7,622.52
1782289452.2315896,2,447.28,531.42
1782289454.9526865,2,447.86,542.86
1782289458.0327888,2,454.38,546.1
1782289460.6531684,2,459.76,592.5
1782289463.6540267,2,458.34,576.08
1782289466.4141998,2,466.02,563.26
1782289468.9948714,2,446.08,526.26
