CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,Timestamp,Vision_Label,Target_Label
5724.0,5812.0,5810.0,5762.0,5968.0,5826.0,7200.0,6386.0,5778.0,5906.0,5702.0,5726.0,1783072595.3592489,Open Hand,Open Hand
5724.0,5818.0,5810.0,5762.0,5974.0,5822.0,7200.0,6388.0,5778.0,5906.0,5704.0,5726.0,1783072595.3682406,Open Hand,Open Hand
5724.0,5818.0,5812.0,5754.0,5974.0,5822.0,7200.0,6392.0,5778.0,5908.0,5706.0,5726.0,1783072595.379246,Open Hand,Open Hand
5716.0,5818.0,5816.0,5754.0,5972.0,5822.0,7200.0,6390.0,5774.0,5908.0,5706.0,5726.0,1783072595.3912504,Open Hand,Open Hand
5716.0,5818.0,5814.0,5754.0,5972.0,5822.0,7204.0,6394.0,5782.0,5908.0,5704.0,5726.0,1783072595.4032404,Open Hand,Open Hand
5716.0,5818.0,5814.0,5756.0,5978.0,5824.0,7200.0,6390.0,5782.0,5908.0,5704.0,5726.0,1783072595.41324,Open Hand,Open Hand
5716.0,5818.0,5814.0,5756.0,5978.0,5822.0,7200.0,6390.0,5784.0,5908.0,5704.0,5726.0,1783072595.4222481,Open Hand,Open Hand
5722.0,5818.0,5814.0,5754.0,5976.0,5824.0,7192.0,6388.0,5786.0,5908.0,5708.0,5728.0,1783072595.4312484,Open Hand,Open Hand
5714.0,5820.0,5812.0,5754.0,5974.0,5826.0,7192.0,6388.0,5786.0,5904.0,5704.0,5728.0,1783072595.4412603,Open Hand,Open Hand
5722.0,5816.0,5812.0,5746.0,5968.0,5826.0,7202.0,6388.0,5786.0,5758.0,5550.0,5712.0,1783072595.452042,Open Hand,Open Hand
5722.0,5816.0,5812.0,5756.0,5970.0,5826.0,7202.0,6390.0,5786.0,5758.0,5550.0,5712.0,1783072595.4700513,Open Hand,Open Hand
5724.0,5816.0,5812.0,5756.0,5970.0,5828.0,7202.0,6390.0,5790.0,5912.0,5702.0,5720.0,1783072595.4801657,Open Hand,Open Hand
5724.0,5816.0,5812.0,5756.0,5970.0,5828.0,7200.0,6390.0,5790.0,5912.0,5702.0,5720.0,1783072595.493013,Open Hand,Open Hand
5724.0,5820.0,5806.0,5758.0,5980.0,5828.0,7200.0,6392.0,5786.0,5912.0,5702.0,5720.0,1783072595.5020142,Open Hand,Open Hand
5720.0,5812.0,5806.0,5758.0,5976.0,5820.0,7200.0,6392.0,5782.0,5910.0,5702.0,5718.0,1783072595.5170121,Open Hand,Open Hand
5718.0,5820.0,5812.0,5762.0,5976.0,5824.0,7200.0,6392.0,5782.0,5904.0,5704.0,5726.0,1783072595.5270119,Open Hand,Open Hand
5716.0,5820.0,5812.0,5764.0,5976.0,5824.0,7200.0,6392.0,5782.0,5904.0,5704.0,5718.0,1783072595.5360172,Open Hand,Open Hand
5716.0,5820.0,5812.0,5764.0,5974.0,5824.0,7200.0,6392.0,5782.0,5910.0,5708.0,5720.0,1783072595.5450172,Open Hand,Open Hand
5716.0,5822.0,5816.0,5762.0,5978.0,5830.0,7200.0,6392.0,5782.0,5910.0,5708.0,5714.0,1783072595.5535414,Open Hand,Open Hand
5720.0,5814.0,5816.0,5758.0,5974.0,5826.0,7200.0,6394.0,5782.0,5906.0,5706.0,5718.0,1783072595.566554,Open Hand,Open Hand
5722.0,5820.0,5818.0,5758.0,5976.0,5830.0,7200.0,6394.0,5782.0,5906.0,5700.0,5718.0,1783072595.5775409,Open Hand,Open Hand
5722.0,5820.0,5818.0,5758.0,5976.0,5826.0,7200.0,6394.0,5784.0,5908.0,5702.0,5720.0,1783072595.5964289,Open Hand,Open Hand
5722.0,5820.0,5816.0,5758.0,5978.0,5824.0,7200.0,6394.0,5784.0,5910.0,5700.0,5722.0,1783072595.6054423,Open Hand,Open Hand
5714.0,5822.0,5812.0,5758.0,5978.0,5824.0,7200.0,6388.0,5786.0,5912.0,5700.0,5722.0,1783072595.6154294,Open Hand,Open Hand
5712.0,5818.0,5812.0,5756.0,5978.0,5826.0,7200.0,6398.0,5786.0,5910.0,5700.0,5722.0,1783072595.6244373,Open Hand,Open Hand
5712.0,5826.0,5812.0,5756.0,5966.0,5830.0,7200.0,6398.0,5786.0,5906.0,5702.0,5726.0,1783072595.6414533,Open Hand,Open Hand
5712.0,5818.0,5814.0,5756.0,5976.0,5830.0,7200.0,6398.0,5780.0,5906.0,5704.0,5726.0,1783072595.651971,Open Hand,Open Hand
5716.0,5822.0,5814.0,5766.0,5976.0,5822.0,7200.0,6394.0,5780.0,5906.0,5702.0,5726.0,1783072595.6619778,Open Hand,Open Hand
5716.0,5818.0,5818.0,5766.0,5976.0,5822.0,7200.0,6394.0,5782.0,5908.0,5704.0,5728.0,1783072595.6709783,Open Hand,Open Hand
